time,wx (rad/s),wy (rad/s),wz (rad/s)
1.149472,0.00,-0.02,0.00
1.154814,-0.00,-0.00,0.01
1.155006,-0.01,0.02,0.00
1.156419,-0.00,0.02,-0.01
1.157525,-0.01,0.01,0.00
1.160313,-0.01,-0.01,-0.00
1.161481,0.00,-0.01,0.00
1.164289,-0.01,0.02,0.00
1.165843,-0.01,-0.00,0.00
1.168569,-0.00,0.00,0.01
1.169751,-0.01,0.01,0.00
1.172445,0.00,0.01,-0.00
1.175544,-0.00,0.03,-0.01
1.176779,-0.02,0.01,0.01
1.177488,0.01,-0.05,0.01
1.180382,0.01,0.00,0.00
1.181415,-0.03,0.07,0.00
1.184358,0.02,-0.03,-0.01
1.185536,-0.01,-0.03,0.00
1.188674,-0.02,-0.00,0.00
1.189686,-0.01,0.03,0.00
1.192952,-0.02,0.05,0.00
1.193630,-0.02,0.01,0.01
1.197205,0.00,-0.01,-0.00
1.197560,-0.01,-0.00,-0.02
1.200797,-0.00,0.00,0.01
1.202533,-0.00,-0.01,0.01
1.206485,-0.00,0.02,0.01
1.206771,-0.02,-0.00,-0.01
1.208507,-0.00,-0.03,0.00
1.209518,-0.01,0.02,-0.00
1.212452,-0.02,0.03,-0.00
1.213655,-0.01,0.00,0.00
1.217471,0.00,-0.01,-0.00
1.217709,-0.01,-0.02,0.00
1.220828,-0.01,0.03,0.00
1.221758,-0.01,0.01,0.00
1.224633,0.00,-0.04,-0.00
1.226589,0.00,0.01,-0.01
1.228785,-0.03,0.03,0.00
1.229732,-0.00,-0.00,0.00
1.232707,-0.00,0.02,0.01
1.234043,-0.02,0.02,-0.00
1.236767,-0.01,-0.03,0.01
1.237980,0.01,-0.01,0.01
1.241055,-0.03,0.07,-0.00
1.241867,-0.02,0.04,0.01
1.244745,-0.00,-0.04,-0.01
1.246151,-0.01,0.00,-0.01
1.248926,-0.02,0.01,0.00
1.250196,-0.00,0.00,0.01
1.252536,-0.01,0.02,0.01
1.254393,-0.00,0.00,-0.00
1.256764,0.00,0.01,-0.01
1.258059,-0.02,0.00,-0.01
1.261279,0.01,-0.04,0.00
1.261711,0.01,-0.00,0.00
1.264617,-0.03,0.04,0.01
1.266464,0.01,-0.03,0.00
1.268673,-0.01,0.01,0.00
1.269897,-0.02,0.05,-0.01
1.272605,-0.01,0.00,-0.00
1.275271,0.01,-0.04,0.01
1.276672,-0.00,-0.00,0.00
1.278670,-0.02,0.06,0.01
1.281116,-0.01,-0.02,0.00
1.281883,0.01,-0.04,0.00
1.284935,-0.01,0.02,-0.00
1.285944,-0.01,-0.01,0.00
1.289085,0.01,0.03,0.01
1.291692,-0.02,0.06,-0.00
1.292904,-0.02,-0.02,-0.00
1.293957,0.01,-0.05,0.00
1.296757,0.00,0.02,0.00
1.297792,-0.02,0.04,0.02
1.300844,0.00,-0.02,0.00
1.302730,-0.01,0.02,-0.01
1.304866,-0.01,0.01,-0.02
1.305901,0.02,-0.05,-0.01
1.310314,-0.02,0.01,0.01
1.319702,-0.03,0.02,0.01
1.320118,-0.01,0.01,0.01
1.320425,-0.01,0.02,0.01
1.320696,-0.02,0.02,0.00
1.320888,-0.01,0.01,-0.02
1.321359,-0.00,-0.03,-0.00
1.321609,-0.01,-0.00,0.00
1.325271,-0.01,0.02,0.02
1.330653,-0.01,0.01,0.01
1.331631,0.00,-0.03,-0.00
1.331909,-0.00,-0.02,-0.01
1.333390,-0.01,0.01,-0.01
1.334299,-0.01,-0.00,0.01
1.337206,-0.00,-0.00,-0.00
1.337608,-0.01,-0.00,-0.00
1.341332,-0.01,-0.01,-0.00
1.342048,0.01,-0.03,-0.00
1.344582,0.02,-0.00,-0.01
1.346059,-0.02,0.04,-0.00
1.348769,-0.01,-0.01,-0.00
1.350393,0.01,-0.04,0.01
1.352553,-0.01,0.01,0.00
1.354211,-0.02,0.04,0.01
1.356614,0.01,-0.04,0.01
1.358559,0.00,-0.02,0.00
1.361080,-0.01,0.05,-0.02
1.362230,-0.02,0.03,0.01
1.364715,-0.00,-0.01,-0.00
1.366012,0.00,-0.01,0.00
1.369142,-0.02,0.01,0.00
1.370045,-0.00,-0.01,0.00
1.372518,0.00,-0.00,0.01
1.376079,-0.00,-0.01,0.00
1.376801,-0.01,0.03,-0.01
1.378271,-0.01,0.03,-0.01
1.380766,-0.00,-0.02,-0.00
1.382129,-0.00,-0.03,0.01
1.384605,-0.01,0.00,-0.00
1.386570,-0.01,0.05,0.00
1.388842,-0.01,-0.01,-0.00
1.390244,-0.00,-0.02,-0.02
1.394069,-0.01,-0.00,-0.02
1.395132,-0.01,0.01,0.00
1.396826,-0.01,0.00,0.01
1.397943,-0.01,0.01,0.01
1.401054,-0.01,0.00,-0.00
1.402468,-0.01,-0.02,-0.00
1.404819,-0.01,0.00,-0.01
1.405972,-0.01,0.01,0.00
1.412353,-0.02,0.02,-0.00
1.413389,0.00,0.00,-0.01
1.413704,-0.01,0.01,-0.01
1.414320,-0.01,-0.04,0.00
1.418114,0.00,-0.00,-0.00
1.418543,-0.02,0.03,0.00
1.421449,-0.01,0.02,0.00
1.421885,-0.00,-0.02,-0.00
1.438835,-0.01,0.00,-0.01
1.439554,-0.01,0.01,-0.01
1.439875,-0.00,0.01,0.01
1.440154,-0.01,-0.00,0.00
1.440385,-0.01,-0.02,0.00
1.440597,-0.00,-0.00,-0.00
1.440832,-0.02,0.01,-0.00
1.441186,-0.00,-0.02,0.00
1.447023,-0.00,0.01,0.01
1.447789,-0.02,0.02,0.00
1.448077,-0.01,-0.01,-0.00
1.448331,-0.00,-0.02,-0.01
1.449537,-0.00,-0.00,-0.00
1.450965,-0.01,0.04,0.01
1.453751,-0.02,0.03,-0.00
1.454165,0.00,-0.03,-0.01
1.457105,-0.00,0.00,0.00
1.459521,-0.02,0.02,-0.00
1.461100,-0.00,0.01,0.00
1.462100,0.00,-0.03,-0.00
1.465145,-0.01,-0.01,0.00
1.466398,-0.01,-0.00,0.00
1.469073,-0.01,0.03,0.00
1.469973,-0.01,-0.02,-0.00
1.472542,0.01,-0.03,0.01
